year,gdp_per_capita,water_access_pct
2000,603.233162455158,59.7997359655038
2001,637.213530563724,60.9066465806354
2002,669.430447319209,62.0161291286122
2003,817.888034221442,63.1942453922298
2004,918.102079522155,64.4218461577163
2005,979.846101520171,65.6454033379623
2006,1017.20196747987,66.865607080287
2007,1188.93877808175,68.0818461765574
2008,1398.79218010021,69.2939508159691
2009,1308.69404336205,70.5013902121975
2010,1275.88357492357,71.7047289784237
2011,1374.67591873844,72.9034178534763
2012,1326.83798848379,74.0969620089046
2013,1379.83196553924,75.2855370773077
2014,1398.89137601382,76.46896680992
2015,1218.00613555438,77.649320243194
2016,1266.43957151587,78.8258139339832
2017,1354.77007193387,79.9984726874606
2018,1452.55612562445,81.1662422601817
2019,1431.18128932159,82.3288600505419
2020,1461.08720350553,83.4855735664121
2021,1598.10676952274,84.636074800772
2022,1574.0281059306,85.7796288430834
2023,1698.03387300843,86.915566820325
2024,1738.73223822106,88.0435670438381
